,source,text,date,retweet_count,favorite_count,id_str,time
17843,Twitter for iPhone,"3.1 GDP FOR THE YEAR, BEST NUMBER IN 14 YEARS!",2019-03-22,35495,169276,1109045104080244736,10:52:12.000000
17914,Twitter for iPhone,"Had the Fed not mistakenly raised interest rates, especially since there is very little inflation, and had they not done the ridiculously timed quantitative tightening, the 3.0% GDP, &amp; Stock Market, would have both been much higher &amp; World Markets would be in a better place!",2019-03-29,20712,90586,1111745178824511488,21:41:20.000000
18097,Twitter for iPhone,"If the Fed had done its job properly, which it has not, the Stock Market would have been up 5000 to 10,000 additional points, and GDP would have been well  over 4% instead of 3%...with almost no inflation. Quantitative tightening was a killer, should have done the exact opposite!",2019-04-14,22630,97655,1117428291227533312,14:04:00.000000
18182,Twitter for iPhone,"RT @IvankaTrump: Wonderful and productive visit to Côte d'Ivoire! #WGDP! 
🎥: https://t.co/zzEsYYOyUp",2019-04-20,9181,0,1119660169967931392,17:52:41.000000
18310,Twitter for iPhone,"Just out: Real GDP for First Quarter grew 3.2% at an annual rate. This is far above expectations or projections. Importantly, inflation VERY LOW. MAKE AMERICA GREAT AGAIN!",2019-04-26,26855,122850,1121782348469522432,14:25:28.000000
18312,Twitter for iPhone,"Spoke to Saudi Arabia and others about increasing oil flow. All are in agreement. The California tax on gasoline is causing big problems on pricing for that state. Speak to your Governor about reducing. Economic numbers, 3.2% GDP for what is often worst quarter, looking good!",2019-04-26,19980,79380,1121844339200540672,18:31:47.000000
18351,Twitter for iPhone,"....up like a rocket if we did some lowering of rates, like one point, and some quantitative easing. Yes, we are doing very well at 3.2% GDP, but with our wonderfully low inflation, we could be setting major records &amp;, at the same time, make our National Debt start to look small!",2019-04-30,13908,60408,1123287154833203200,18:05:02.000000
18611,Twitter for iPhone,The average 401(k) balance has SOARED since the bottom of the market - 466%. Wow!,2019-05-10,12555,57536,1126817742043136000,11:54:19.000000
18737,Twitter for iPhone,The unexpectedly good first quarter 3.2% GDP was greatly helped by Tariffs from China. Some people just don’t get it!,2019-05-13,13492,58788,1127891815628144640,11:02:18.000000
18822,Twitter for iPhone,"....Conditions, drug prices down for first time in 51 years (&amp; soon will drop much further), Right to Try, protecting your 2nd Amendment, big Tax &amp; Reg Cuts, 3.2 GDP, Strong Foreign Policy, &amp; much much more that nobody else would have been able to do. Our Country is doing GREAT!",2019-05-19,17894,84293,1130093130857013248,12:49:33.000000
18827,Twitter for iPhone,"With the wonderful College, University and other Graduations taking place all over the USA, there has never been a better time than now to graduate. Best jobs market ever, great housing and financing. Go out there, work hard, &amp; have a GREAT life. You deserve it. Congratulations!",2019-05-19,21597,110166,1130198627081699328,19:48:45.000000
19397,Twitter for iPhone,"Since Election Day 2016, Stocks up almost 50%, Stocks gained 9.2 Trillion Dollars in value, and more than 5,000,000 new jobs added to the Economy. @LouDobbs If our opponent had won, there would have been a market crash, plain and simple! @TuckerCarlson @seanhannity @IngrahamAngle",2019-06-20,18971,75257,1141499029727121408,00:12:31.000000
19444,Twitter for iPhone,"....Think of what it could have been if the Fed had gotten it right. Thousands of points higher on the Dow, and GDP in the 4’s or even 5’s. Now they stick, like a stubborn child, when we need rates cuts, &amp; easing, to make up for what other countries are doing against us. Blew it!",2019-06-24,2130,8103,1143134130521219072,12:29:49.000000
19446,Twitter for iPhone,"....Think of what it could have been if the Fed had gotten it right. Thousands of points higher on the Dow, and GDP in the 4’s or even 5’s. Now they stick, like a stubborn child, when we need rates cuts, &amp; easing, to make up for what other countries are doing against us. Blew it!",2019-06-24,15059,71561,1143140106557186048,12:53:34.000000
19578,Twitter for iPhone,S&amp;P 500 hits new record high. Up 19% for the year. Congratulations!,2019-07-03,15041,74546,1146421386820427776,14:12:12.000000
19807,Twitter for iPhone,"The DOW, S&amp;P 500, and NASDAQ all close the week at a new record high! https://t.co/wPJiM8n7m2",2019-07-12,14743,55849,1149812548625195008,22:47:28.000000
19810,Twitter for iPhone,RT @IvankaTrump: #WGDP is proud to work w/ @USAID to advance women’s economic empowerment. Thank you @USAIDMarkGreen for your commitment to…,2019-07-13,4533,0,1149865408943595520,02:17:31.000000
20009,Twitter for iPhone,"....as we have done, it could have been soooo much better. Interest rate costs should have been much lower, &amp; GDP &amp; our Country’s wealth accumulation much higher. Such a waste of time &amp; money. Also, very unfair that other countries manipulate their currencies and pump money in!",2019-07-22,13933,69635,1153274075155959808,12:02:20.000000
20093,Twitter for iPhone,"President Trump’s Approval Rating on Economy is at 52%, a 4 point jump. Fox Poll @foxandfriends  Shouldn’t this be at 100%? Best stock market, economy and unemployment numbers ever! Most people working within U.S. ever! Low interest rates, very low inflation! Country doing great!",2019-07-25,18465,84561,1154362522830614528,12:07:27.000000
20111,Twitter for iPhone,Q2 GDP Up 2.1% Not bad considering we have the very heavy weight of the Federal Reserve anchor wrapped around our neck. Almost no inflation. USA is set to Zoom!,2019-07-26,15792,70349,1154763413358370816,14:40:26.000000
20386,Twitter for iPhone,RT @USEmbassyWarsaw: .@USAmbPoland: “Poland meets its 2% of GDP spending obligation towards NATO.  Germany does not.  We would welcome Amer…,2019-08-12,8615,0,1160999140085645312,19:38:59.000000
20631,Twitter for iPhone,"For the record, Denmark is only at 1.35% of GDP for NATO spending. They are a wealthy country and should be at 2%. We protect Europe and yet, only 8 of the 28 NATO countries are at the 2% mark. The United States is at a much, much higher level than that....",2019-08-21,20157,93727,1164228805562552320,17:32:32.000000
20836,Twitter for iPhone,"RT @MeetThePress: . @chucktodd asks: How could you say Trump is a free-market conservative as he issues tariffs?

@DavidMMcintosh: ""What we…",2019-08-30,4598,0,1167410570041155584,12:15:43.000000
20878,Twitter for iPhone,RT @SenCapito: Stopped in and visited with the Witschey family at their market in New Martinsville this morning. Celebrating 75 years in bu…,2019-08-31,2077,0,1167770637777166336,12:06:30.000000
21065,Twitter for iPhone,"....that our economy is very strong. If the Fed would lower rates to where the bond market says they should be, then I really wouldn’t worry about a recession.” @jimcramer @JoeSquawk",2019-09-06,10680,51045,1169815875966210048,03:33:33.000000
21123,Twitter for iPhone,"RT @arielmou: ⁦#Video of @IvankaTrump⁩ dancing with Paraguayan women, as her South American trip comes to an end today. #WGDP https://t.co/…",2019-09-08,7196,0,1170789259068022784,20:01:26.000000
21227,Twitter for iPhone,RT @VP: The #USMCA is a deal for the 21st Century that will support mutually beneficial trade and lead to freer and fairer markets! #USMCAn…,2019-09-12,4777,0,1171985838655332352,03:16:13.000000
21260,Twitter for iPhone,"While I like the Vaping alternative to Cigarettes, we need to make sure this alternative is SAFE for ALL! Let’s get counterfeits off the market, and keep young children from Vaping!",2019-09-13,24382,135817,1172639954985455616,22:35:26.000000
21297,Twitter for iPhone,....sufficient to keep the markets well-supplied. I have also informed all appropriate agencies to expedite approvals of the oil pipelines currently in the permitting process in Texas and various other States.,2019-09-15,15295,69847,1173354645642764288,21:55:22.000000
21322,Twitter for iPhone,"RT @GovBillLee: The USMCA is a 21st-century trade deal for a 21st-century market that will fuel economic growth right here in Tennessee, cr…",2019-09-16,5011,0,1173700878689325056,20:51:10.000000
